LINE,SENT DATE
238047,2017-02-14
238077,2017-02-14
238081,2017-02-14
238082,2017-02-14
238120,2017-02-14
238250,2017-02-14
238258,2017-02-14
238263,2017-02-14
238341,2017-02-14
238355,2017-02-14
238362,2017-02-14
238386,2017-02-14
238405,2017-02-14
238432,2017-02-14
238536,2017-02-14
238588,2017-02-14
238646,2017-02-14
238652,2017-02-14
238688,2017-02-14
238698,2017-02-14
238755,2017-02-14
238870,2017-02-14
238872,2017-02-14
238893,2017-02-14
238896,2017-02-14
238924,2017-02-14
238952,2017-02-14
238972,2017-02-14
239042,2017-02-14
239112,2017-02-14
239138,2017-02-14
239208,2017-02-14
239319,2017-02-14
239331,2017-02-14
239351,2017-02-14
239363,2017-02-14
239428,2017-02-14
239432,2017-02-14
239462,2017-02-14
239480,2017-02-14
239485,2017-02-14
239499,2017-02-14
239578,2017-02-14
239615,2017-02-14
239618,2017-02-14
239657,2017-02-14
239690,2017-02-14
239704,2017-02-14
239748,2017-02-14
239752,2017-02-14
239758,2017-02-14
239768,2017-02-14
239827,2017-02-14
239881,2017-02-14
239888,2017-02-14
240035,2017-02-14
240048,2017-02-14
240113,2017-02-14
240121,2017-02-14
240127,2017-02-14
240128,2017-02-14
240162,2017-02-14
240173,2017-02-14
240238,2017-02-14
240256,2017-02-14
240556,2017-02-14
240615,2017-02-14
240688,2017-02-14
240738,2017-02-14
240747,2017-02-14
240762,2017-02-14
240827,2017-02-14
240876,2017-02-14
240887,2017-02-14
240907,2017-02-14
240909,2017-02-14
240949,2017-02-14
240954,2017-02-14
240982,2017-02-14
241023,2017-02-14
241038,2017-02-14
241170,2017-02-14
241297,2017-02-14
241306,2017-02-14
241326,2017-02-14
241335,2017-02-14
241376,2017-02-14
241447,2017-02-14
241462,2017-02-14
241476,2017-02-14
241635,2017-02-14
241641,2017-02-14
242260,2017-02-14
242266,2017-02-14
242435,2017-02-14
242593,2017-02-14
244413,2017-02-14
244684,2017-02-14
236586,2017-02-14
237401,2017-02-14
237770,2017-02-14
238882,2017-02-14
238911,2017-02-14
239055,2017-02-14
239339,2017-02-14
240111,2017-02-14
240114,2017-02-14
240124,2017-02-14
241588,2017-02-14
241629,2017-02-14
241692,2017-02-14
241871,2017-02-14
243889,2017-02-14
244971,2017-02-14
238372,2017-02-14
242564,2017-02-14
243273,2017-02-14
243317,2017-02-14
243702,2017-02-14
243777,2017-02-14
243803,2017-02-14
243993,2017-02-14
244127,2017-02-14
244162,2017-02-14
244180,2017-02-14
244391,2017-02-14
244436,2017-02-14
244513,2017-02-14
244515,2017-02-14
244593,2017-02-14
244643,2017-02-14
244656,2017-02-14
244702,2017-02-14
244742,2017-02-14
244760,2017-02-14
243251,2017-02-15
243898,2017-02-15
244203,2017-02-15
235370,2017-02-15
237385,2017-02-15
237593,2017-02-15
237712,2017-02-15
237753,2017-02-15
237826,2017-02-15
238125,2017-02-15
238419,2017-02-15
238527,2017-02-15
239367,2017-02-15
239392,2017-02-15
239769,2017-02-15
240315,2017-02-15
240342,2017-02-15
240399,2017-02-15
240403,2017-02-15
240557,2017-02-15
241001,2017-02-15
241143,2017-02-15
241240,2017-02-15
241362,2017-02-15
241452,2017-02-15
241551,2017-02-15
241577,2017-02-15
241607,2017-02-15
241615,2017-02-15
241740,2017-02-15
242335,2017-02-15
244501,2017-02-15
245289,2017-02-15
232550,2017-02-15
234486,2017-02-15
235057,2017-02-15
237691,2017-02-15
240122,2017-02-15
240618,2017-02-15
241154,2017-02-15
