order_number,ship_date
R344801470,2017-04-28
R066852101,2017-04-28
R878888346,2017-04-28
R874462721,2017-04-28
R233224555,2017-04-28
R422578865,2017-05-01
R423786480,2017-05-01
R047470270,2017-05-01
R007421415,2017-05-01
R368588864,2017-05-01
R435862287,2017-05-01
R118647422,2017-05-01
R884783884,2017-05-01
R053518363,2017-05-01
R121478283,2017-05-01
R064838541,2017-05-01
R886201316,2017-05-01
E626881507,2017-05-01
R618884016,2017-05-01
R121478283,2017-05-01
R504318725,2017-05-01
R843140434,2017-05-01
R653301552,2017-05-01
R300815634,2017-05-01
R440275447,2017-05-01
R746366026,2017-05-01
R384034873,2017-05-01
R235466271,2017-05-01
R566813406,2017-05-01
R485820027,2017-05-01
R432867658,2017-05-01
R300873732,2017-05-01
E347530606,2017-05-01
R737837731,2017-05-01
R308605056,2017-05-01
R361336350,2017-05-01
R754681881,2017-05-01
R237102211,2017-05-01
R656730087,2017-05-01
R034213618,2017-05-01
R581881703,2017-05-01
R020105546,2017-05-01
R511874700,2017-05-01
R653386306,2017-05-01
E817274606,2017-05-01
R873757263,2017-05-03
R877127620,2017-05-02
R206356650,2017-05-02
R785753717,2017-05-02
R010012463,2017-05-02
R138546138,2017-05-02
R825300367,2017-05-02
R430737237,2017-05-03
R430737237,2017-05-03
R201437354,2017-05-03
R006183667,2017-05-03
R752446126,2017-05-03
R743217438,2017-05-03
R466602623,2017-05-03
R752420538,2017-05-03
R212712702,2017-05-03
R534205065,2017-05-03
R338102787,2017-05-03
R308176307,2017-05-03
R226830372,2017-05-03
R874754060,2017-05-03
R874754060,2017-05-03
R136440282,2017-05-03
R871476577,2017-05-03
R163520030,2017-05-03
R184126252,2017-05-04
R083407036,2017-05-03
R045646130,2017-05-03
R181455523,2017-05-03
R465146177,2017-05-03
R226830372,2017-05-03
R184670683,2017-05-03
R083462800,2017-05-03
R526588452,2017-05-03
R351231808,2017-05-03
R775285657,2017-05-03
R123550462,2017-05-03
R570111774,2017-05-03
R856822711,2017-05-03
R187105817,2017-05-03
R250163386,2017-05-03
R526588452,2017-05-03
R164233834,2017-05-03
R513848467,2017-05-03
R656186317,2017-05-03
R286238432,2017-05-03
R286238432,2017-05-03
R443718706,2017-05-03
R335013513,2017-05-03
R684353630,2017-05-03
R861320805,2017-05-03
R714628212,2017-05-03
R474722145,2017-05-03
R474722145,2017-05-03
R416877547,2017-05-03
R871471272,2017-05-03
