utm_campaign,product
CONTEMPORARY-DAY_US_NA_26-35_FRIENDS-OF-ENGAGED_ALL_CAROUSEL_PRODUCT_WEDDING-GUEST_CAROUSEL_PRODUCT_NA_PDP_DRESSES_QUASAR-OLSEN-DEVILLE-AURELIA-DREAMABOUTME-DELPHINE-LUCID,AURELIA
CONTEMPORARY-NIGHT_AUS_NA_ALL_NA_ALL_CAROUSEL_PRODUCT_EVENING_CAROUSEL_PRODUCT_NA_PDP_DRESSES_AXIS-LYRA-TWILIGHT-PISCES-IRVINE-SATTELITE,TWILIGHT
PROM__EC_17_NA_D_CAROUSEL_INFLUENCER_PROM_CAROUSEL_INFLUENCER_BRAND_PDP_DRESSES_ZENITH-GALACTIC-MAISIE-ESCALA,ZENITH
PROM__EC_17_NA_M_CAROUSEL_INFLUENCER_PROM_CAROUSEL_INFLUENCER_BRAND_PDP_DRESSES_ZENITH-GALACTIC-MAISIE-ESCALA,ZENITH
PROM__EC_18_NA_M_CAROUSEL_INFLUENCER_PROM_CAROUSEL_INFLUENCER_BRAND_PDP_DRESSES_ZENITH-GALACTIC-MAISIE-ESCALA,ZENITH
PROM__WC_18_NA_D_CAROUSEL_INFLUENCER_PROM_CAROUSEL_INFLUENCER_BRAND_PDP_DRESSES_ZENITH-GALACTIC-MAISIE-ESCALA,ZENITH
PROM__WC_18_NA_M_CAROUSEL_INFLUENCER_PROM_CAROUSEL_INFLUENCER_BRAND_PDP_DRESSES_ZENITH-GALACTIC-MAISIE-ESCALA,ZENITH
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-PALOMA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_PALOMA-DRESSES_ARA-CAPRICORN-ARIANNE-ARA-TRINE-RETROGRADE,ARIANNE
PROM_USA_ALL_19-20_NA_M_CAROUSEL_PRODUCT_DRAMATIC_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_GALACTIC-BOREALIS-NOVA-VELA,GALACTIC
PROM_USA_ALL_19-20_NA_M_CAROUSEL_PRODUCT_EDGY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_SAGGITARIUS-ARA-BACKLESSHAVEN-PISCES,SAGGITARIUS
PROM_USA_ALL_19-20_NA_M_CAROUSEL_PRODUCT_GIRLY_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_VALENTINA-SATELLITE-ALIJA-RETROGRADE,VALENTINA
PROM_USA_EC_17_NA_D_CAROUSEL_PRODUCT_DRAMATIC_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_GALACTIC-BOREALIS-NOVA-VELA,GALACTIC
