Page,Sessions,Bounces
/dress-darlo-dress-1139?color=silver,110,40
/dress-regina-932?color=white,109,45
/dress-the-dawn-1416?color=champagne,109,49
/dress-the-solstice-1345?color=warm-tan,109,36
/dress-the-wilshire-dress-1582?color=black,109,44
/dress-avanti-1097?color=ornate-midnight-floral,108,42
/dress-first-in-line-467?color=white,108,47
/dress-chelsea-queen-620?color=navy,107,69
/dress-elegant-lace-dress-1136?color=navy,107,51
/dress-the-kensie-1301?color=ivory,107,44
/dress-the-reese-1388?color=navy-and-red,107,39
/dress-queen-of-the-night-dress-1129,105,51
/dress-siana-1126?color=navy,105,41
/dress-ethereal-whisper-845?color=black,104,30
/dress-the-nicks-1299?color=ivory,104,38
/dress-the-santo-dress-1504?color=faded-floral,104,45
/dress-wyatt-1030?color=dark-burgundy,104,57
/dress-queen-of-the-night-1129?color=winter-grey,103,30
/dress-analise-956?color=black,102,51
/dress-rikki-jumpsuit-1245?color=dark-tan,102,45
/dress-the-zenon-1324?color=silver,102,46
/dress-marin-skirt-1179?color=black,101,71
/dress-nora-1084?color=indigo-cotton-stripe,101,42
/dress-the-alexandrina-1302?color=ivory,101,36
/dress-briley-1048?color=ivory,100,34
/dress-jodie-916?color=black,100,47
/dress-the-becca-1430?color=pale-grey,100,40
/dress-the-retrograde-1361?color=pretty-pink,100,38
/dress-jewelled-night-615?color=white,99,50
/dress-mirabella-582,99,50
/dress-the-onassis-two-piece-1604?color=black-and-white-stripe,99,43
/dress-daisy-471?color=watermelon,98,40
/dress-noire-1217?color=silver,98,65
/dress-sinatra-dress-1235?color=black,98,33
/dress-the-soko-two-piece-1490?color=black-and-white-gingham,98,48
/dress-eclectic-love-1114?color=rosewater-floral,97,31
/dress-florentina-dress-1261?color=mystic-floral,97,52
/dress-oscar-dress-1099?color=pale-pink,97,34
/dress-the-moana-1422?color=burgundy,97,30
/dress-grayson-dress-1113?color=pale-blue,96,39
/dress-ziv-1037?color=champagne,96,21
/dress-the-aleali-dress-1539?color=pale-blue,94,35
/dress-knox-two-piece-1019?color=watercolour-camo,93,36
/dress-the-angela-1427?color=pale-pink,93,37
/dress-larissa-689?color=black,92,46
/dress-maquino-1198?color=cherry-red,92,31
/dress-rhodes-379?color=ice-blue,92,37
/dress-the-lipton-dress-1609?color=black-and-white-stripe,92,38
/dress-the-mystic-dress-1561?color=dark-romance-floral,92,46
/dress-the-scorpius-1340?color=black,92,33
/dress-wired-heart-355?color=burgundy,92,35
/dress-darlo-1139?color=silver,91,41
/dress-gigi-989,91,40
/dress-the-sage-pant-1567?color=dark-romance-floral,91,39
/dress-cali-two-piece-903?color=dark-burgundy,90,39
/dress-hayley-two-piece-414?color=pale-pink,90,38
/dress-minutiae-dress-1236?color=black,90,30
/dress-astrid-371?color=navy,89,31
/dress-in-dreams-345?color=flamingo-pink,89,25
/dress-odessa-185?color=black,89,46
/dress-charlene-875?color=navy,88,38
/dress-quincy-897?color=ivory,88,22
/dress-skyscraper-1190?color=black,88,50
/dress-the-kling-top-1533,88,54
/dress-the-stephania-skirt-1439?color=silver,88,44
/dress-tilbury-1109?color=pale-blue,88,37
/dress-holly-493?color=black,87,27
/dress-megan-915?color=olive,87,39
/dress-the-lulu-dress-1529?color=black-and-white-spot,87,37
/dress-zane-1200?color=dark-teal,87,43
/dress-pretoria-skirt-1167?color=black,86,71
/dress-atlas-dress-1249?color=irridescent-green,85,15
/dress-the-jagger-1304?color=ivory,85,42
/dress-the-lenore-1414?color=champagne,85,32
/dress-the-prairie-902?color=ivory,85,36
/dress-cynthia-492,84,25
/dress-lace-debutante-474?color=ivory,84,31
/dress-rebel-capri-two-piece-917?color=lavender,84,32
/dress-the-highland-dress-1578?color=navy,84,26
/dress-gillian-two-piece-909?color=indigo,83,37
/dress-harbourside-dress-1123?color=navy,83,31
/dress-shaylyn-1054?color=black,83,21
/dress-the-esme-1309?color=ivory,83,33
/dress-winslow-1000?color=ivory,83,36
/dress-the-annie-1313?color=ivory,81,28
/dress-the-gilroy-two-piece-1489?color=navy-stripe,81,36
/dress-the-janette-dress-1598?color=white,81,39
/dress-etro-1004?color=ivory&?utm_source=Facebook-Paid,80,35
/dress-kendall-multi-way-923,80,37
/dress-leo-919?color=red&?utm_source=Facebook-Paid,80,29
/dress-silk-dreamer-dress-1134,80,43
/dress-the-axis-1364,80,25
/dress-the-jones-jumpsuit-1612?color=black,80,24
/dress-the-torrance-1419?color=red,80,23
/dress-megan-915,79,42
/dress-the-ursa-1337?color=black-and-white,79,24
/dress-brooke-jumpsuit-646?color=cobalt-blue,78,37
/dress-brooke-jumpsuit-646?color=ivory,78,31
/dress-heart-of-glass-skirt-1148?color=black,78,27
/dress-margo-1199?color=dark-burgundy,78,55
/dress-melissa-412?color=cobalt-blue,78,31
/dress-the-irina-dress-1435?color=white,78,37
/dress-the-zhang-skirt-1525?color=oasis-floral,78,26
/dress-about-you-628?color=gypsy-queen,77,23
/dress-firedust-630,77,36
/dress-isla-841?color=black,77,28
/dress-josie-two-piece-1086?color=pale-blue-cotton-stripe,77,63
/dress-stella-635,77,34
/dress-the-foley-jumpsuit-1474?color=black,77,34
/dress-the-helvin-pant-1613?color=black,77,23
/dress-the-lucille-dress-1530?color=oasis-floral,77,30
/dress-the-xavier-dress-1541,77,28
/dress-analise-956?color=dusty-pink,76,35
/dress-azzedine-dress-1103?color=ornate-midnight-floral,76,23
/dress-colette-1075?color=pale-blue-cotton-stripe,75,58
/dress-estelle-two-piece-852?color=white&?utm_source=Facebook-Paid,75,38
/dress-kiko-kimono-coat-1262,74,37
/dress-the-gemini-1366?color=champagne,74,37
/dress-the-tiegs-dress-1512?color=red,74,36
/dress-irvine-dress-1278?color=black,73,31
