Date,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,Returns,Inventory Returns,Refulfilled Return Units
2016-08-17,5135.6526,4745.6336,20,21,4,0,2082.9338018858753,52.5,1483.3804274858753,-390.019,455.63,0,0,20,10,1,0,0,0
2016-08-18,6186.1,5785.747,24,27,2,0,2616.2067440093797,67.5,1908.8400810093797,-400.353,531.48,0,0,24,17,1,0,0,0
2016-08-19,4470.5226,4071.5636,19,20,3,0,1878.0687602088249,50,1338.863415808825,-398.959,415.13,0,0,19,12,2,0,0,0
2016-08-20,2928.4926,2703.7426,12,13,1,0,1199.8925454267116,32.5,849.1140100267116,-224.75,268.46999999999997,0,0,12,7,1,0,0,0
2016-08-21,6736.842599999999,6500.842599999999,23,26,4,0,2597.674729794099,65,1890.1402943940993,-236,511.21000000000004,0,0,23,14,1,0,0,0
2016-08-22,7698.5426,7263.2296,28,31,4,0,2920.395053173257,77.5,2057.211394773257,-435.313,643.25,0,0,28,13,3,0,0,0
2016-08-23,7074.7226,6636.924599999999,21,27,6,0,2674.7763914400043,67.5,2003.075578040004,-437.798,471.13,0,0,21,15,1,0,0,0
2016-08-24,6833.963,6505.784,25,27,8,0,2684.7266494126698,67.5,1904.82891341267,-328.179,583.13,0,0,25,12,0,0,0,0
2016-08-25,5847.6452,5586.0662,22,23,5,0,2221.1436811011245,57.5,1543.3177613011246,-261.579,508.93,0,0,22,11,0,0,0,0
2016-08-26,6274.3126,5935.1936,23,24,6,0,2336.830842887172,60,1676.4702284871717,-339.119,481.04,0,0,23,20,2,0,0,0
2016-08-27,5706.3152,5527.9652,18,22,7,0,2174.9100105903294,55,1593.9990197903296,-178.34999999999997,413.99999999999994,0,0,18,13,0,0,0,0
2016-08-28,5905.5526,5657.5526,19,24,2,0,2291.7876016306805,60,1686.0185762306805,-248,434.49999999999994,0,0,19,13,1,0,0,0
2016-08-29,7202.1152,6805.7202,28,30,5,0,2867.0421985189614,75,2036.6763127189618,-396.395,624,0,0,28,19,0,0,0,0
2016-08-30,8432.4426,7928.3636,29,32,5,0,3249.769973755731,80,2355.747429355731,-504.079,654.5,0,0,29,20,0,0,0,0
2016-08-31,12929.9226,12437.7536,48,52,6,0,5083.9771680788235,130,3623.502313678823,-741.169,1084.18,0,249,48,31,0,0,0,0
